timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
1705365521165000,956.632,350.462,2.27826,123.218,74.3341,-549.872,5.03569,-1.22157,0.0877563,-0.0213188,0.995914,57.8604,57.8604,1,941.278,281.319,2.08512,189.722,79.4824,-546.077,-2.21801,-3.04847,-0.0386471,-0.0531807,0.997837,57.8604,57.8604,1,948.933,314.336,1,0
1705365526063200,956.859,350.51,2.27794,123.268,74.3496,-549.793,5.03569,-1.22157,0.0877563,-0.0213188,0.995914,57.8515,57.8515,1,941.606,281.429,2.06204,189.784,79.5246,-545.981,-2.21801,-3.04847,-0.0386471,-0.0531807,0.997837,57.8515,57.8515,1,949.211,314.425,1,0
1705365531103200,956.971,350.827,2.28244,123.292,74.339,-549.808,5.03569,-1.22157,0.0877563,-0.0213188,0.995914,57.8522,57.8522,1,941.853,281.303,2.05591,189.819,79.5212,-545.978,-2.21801,-3.04847,-0.0386471,-0.0531807,0.997837,57.8522,57.8522,1,949.391,314.531,1,0
1705365536151600,956.971,350.827,2.28244,123.292,74.339,-549.808,5.03569,-1.22157,0.0877563,-0.0213188,0.995914,57.8522,57.8522,1,941.853,281.303,2.05591,189.819,79.5212,-545.978,-2.21801,-3.04847,-0.0386471,-0.0531807,0.997837,57.8522,57.8522,1,949.391,314.531,1,0
1705365541050800,957.201,301.306,2.25627,123.334,74.3231,-549.815,5.03569,-2.13532,0.0877153,-0.0372597,0.995449,57.8525,57.8525,1,958.398,233.893,2.04257,189.85,79.5163,-545.973,-1.91363,-3.92708,-0.0333146,-0.0684869,0.997096,57.8525,57.8525,1,957.78,260.331,1,0
1705365546140000,957.525,284.108,2.24398,123.409,74.3626,-549.633,5.03569,-2.44931,0.0876961,-0.0427354,0.99523,57.8489,57.8489,1,958.826,234.067,2.07955,189.933,79.4782,-546.078,-1.91363,-3.92708,-0.0333146,-0.0684869,0.997096,57.8489,57.8489,1,958.157,250.741,1,0
1705365551044700,957.75,230.985,2.22995,123.434,74.3401,-549.69,5.03569,-3.42785,0.0876193,-0.0597916,0.994358,57.8433,57.8433,1,958.989,234.236,2.07332,189.969,79.5499,-545.915,-1.91363,-3.92708,-0.0333146,-0.0684869,0.997096,57.8433,57.8433,1,958.347,220.778,1,0
1705365556131800,957.75,230.985,2.22995,123.434,74.3401,-549.69,5.03569,-3.42785,0.0876193,-0.0597916,0.994358,57.8433,57.8433,1,958.989,234.236,2.07332,189.969,79.5499,-545.915,-1.91363,-3.92708,-0.0333146,-0.0684869,0.997096,57.8433,57.8433,1,958.347,220.778,1,0
1705365561121700,958.066,221.7,2.23586,123.496,74.3667,-549.643,5.03569,-3.5977,0.0876033,-0.0627505,0.994177,57.8371,57.8371,1,959.322,234.32,2.04067,190.036,79.5966,-545.849,-1.91363,-3.92708,-0.0333146,-0.0684869,0.997096,57.8371,57.8371,1,958.675,215.551,1,0
1705365566121900,958.204,195.305,2.25152,123.533,74.3914,-549.576,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8384,57.8384,1,959.582,234.471,2.07038,190.078,79.5772,-545.945,-1.91363,-3.92708,-0.0333146,-0.0684869,0.997096,57.8384,57.8384,1,958.875,200.61,1,0
1705365571063300,958.281,195.454,2.24141,123.57,74.436,-549.483,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8339,57.8339,1,959.831,223.194,2.08046,190.114,79.5876,-545.958,-1.91363,-4.13694,-0.033306,-0.0721405,0.996838,57.8339,57.8339,1,959.04,194.259,1,0
1705365576125200,958.281,195.454,2.24141,123.57,74.436,-549.483,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8339,57.8339,1,959.831,223.194,2.08046,190.114,79.5876,-545.958,-1.91363,-4.13694,-0.033306,-0.0721405,0.996838,57.8339,57.8339,1,959.04,194.259,1,0
1705365581109500,958.489,195.62,2.2421,123.603,74.4142,-549.585,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8463,57.8463,1,960.012,223.262,2.04053,190.153,79.5529,-546.104,-1.91363,-4.13694,-0.033306,-0.0721405,0.996838,57.8463,57.8463,1,959.238,194.392,1,0
1705365586055800,958.77,195.658,2.21869,123.653,74.4244,-549.562,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8361,57.8361,1,960.319,223.606,2.07037,190.21,79.6362,-545.935,-1.91363,-4.13694,-0.033306,-0.0721405,0.996838,57.8361,57.8361,1,959.536,194.611,1,0
1705365591090800,958.924,195.723,2.23516,123.675,74.4354,-549.527,5.03569,-4.0821,0.0875536,-0.0711858,0.993613,57.8348,57.8348,1,960.404,220.799,2.03584,190.237,79.6405,-545.947,-1.91363,-4.19149,-0.0333037,-0.0730901,0.996769,57.8348,57.8348,1,959.658,193.045,1,0
