timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
65536,949.225,210.941,3.10973,125.737,91.0353,-559.032,4.53545,-5.45516,0.0787178,-0.0950667,0.992354,58.5736,58.5736,1,924.81,202.664,3.23797,190.688,89.994,-559.374,-2.52653,-5.50685,-0.0438785,-0.0959647,0.994417,58.5736,58.5736,1,936.61,191.34,1,0
1713427042500400,949.225,210.941,3.10973,125.737,91.0353,-559.032,4.53545,-5.45516,0.0787178,-0.0950667,0.992354,58.5736,58.5736,1,924.81,202.664,3.23797,190.688,89.994,-559.374,-2.52653,-5.50685,-0.0438785,-0.0959647,0.994417,58.5736,58.5736,1,936.61,191.34,1,0
1713427047536800,949.225,210.941,3.10973,125.737,91.0353,-559.032,4.53545,-5.45516,0.0787178,-0.0950667,0.992354,58.5736,58.5736,1,924.81,202.664,3.23797,190.688,89.994,-559.374,-2.52653,-5.50685,-0.0438785,-0.0959647,0.994417,58.5736,58.5736,1,936.61,191.34,1,0
1713427052442300,949.213,210.893,3.09405,125.735,91.0276,-559.004,4.53545,-5.45516,0.0787178,-0.0950667,0.992354,58.5687,58.5687,1,924.762,202.561,3.24588,190.687,90.0107,-559.3,-2.52653,-5.50685,-0.0438785,-0.0959647,0.994417,58.5687,58.5687,1,936.58,191.254,1,0
1713427057437000,949.119,210.702,3.08406,125.722,90.9987,-559.026,4.53545,-5.45516,0.0787178,-0.0950667,0.992354,58.5715,58.5715,1,924.752,202.492,3.24884,190.683,89.9739,-559.32,-2.52653,-5.50685,-0.0438785,-0.0959647,0.994417,58.5715,58.5715,1,936.527,191.105,1,0
1713427062430100,949.119,210.702,3.08406,125.722,90.9987,-559.026,4.53545,-5.45516,0.0787178,-0.0950667,0.992354,58.5715,58.5715,1,924.752,202.492,3.24884,190.683,89.9739,-559.32,-2.52653,-5.50685,-0.0438785,-0.0959647,0.994417,58.5715,58.5715,1,936.527,191.105,1,0
1713427067511800,949.088,210.672,3.0786,125.715,90.9981,-558.989,4.53545,-5.45516,0.0787178,-0.0950667,0.992354,58.5784,58.5784,1,924.721,202.253,3.24106,190.684,89.8977,-559.483,-2.52653,-5.50685,-0.0438785,-0.0959647,0.994417,58.5784,58.5784,1,936.494,190.951,1,0
1713427072467500,949.028,210.479,3.06519,125.701,90.9648,-559.029,4.53545,-5.45516,0.0787178,-0.0950667,0.992354,58.5771,58.5771,1,924.682,202.254,3.21065,190.678,89.8862,-559.404,-2.52653,-5.50685,-0.0438785,-0.0959647,0.994417,58.5771,58.5771,1,936.444,190.842,1,0
1713427077472700,948.977,210.533,3.07761,125.705,90.9685,-558.98,4.53545,-5.45516,0.0787178,-0.0950667,0.992354,58.5731,58.5731,1,924.682,202.224,3.22168,190.667,89.8806,-559.366,-2.52653,-5.50685,-0.0438785,-0.0959647,0.994417,58.5731,58.5731,1,936.418,190.855,1,0
1713427082499600,948.977,210.533,3.07761,125.705,90.9685,-558.98,4.53545,-5.45516,0.0787178,-0.0950667,0.992354,58.5731,58.5731,1,924.682,202.224,3.22168,190.667,89.8806,-559.366,-2.52653,-5.50685,-0.0438785,-0.0959647,0.994417,58.5731,58.5731,1,936.418,190.855,1,0
