timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
3440964515910,1109.17,455.166,2.20946,141.672,135.566,-527.208,6.26244,-5.62245,0.108558,-0.0979728,0.98925,54.1144,54.1144,1,1119.08,303.955,2.34268,202.891,137.993,-531.994,-0.310742,-8.87388,-0.00535852,-0.15426,0.988016,54.1144,54.1144,1,1114.13,379.56,1,0
3440967012180,1109.17,455.166,2.2045,141.682,135.558,-527.195,6.21523,-5.2461,0.10781,-0.0914338,0.989958,54.1138,54.1138,1,1119.08,303.955,2.37174,202.915,137.992,-531.99,0.0262991,-8.28234,0.000454219,-0.144051,0.98957,54.1138,54.1138,1,1114.13,379.56,1,0
3440969515380,1111.85,455.166,2.20252,141.692,135.504,-527.332,6.4136,-5.8791,0.111117,-0.10243,0.988515,54.1227,54.1227,1,1119.08,303.955,2.37583,202.932,137.968,-532.022,0.0518429,-8.25843,0.000895446,-0.143638,0.98963,54.1227,54.1227,1,1115.47,379.56,1,0
3440972015130,1111.85,455.166,2.20412,141.698,135.485,-527.393,6.45312,-5.60739,0.111852,-0.0977113,0.988909,54.13,54.13,1,1136.77,330.657,2.35637,202.954,137.929,-532.101,0.14735,-8.36181,0.00254441,-0.145424,0.989366,54.13,54.13,1,1124.31,392.912,1,0
3440974518340,1122.29,455.166,2.19923,141.711,135.46,-527.359,6.5293,-5.67549,0.113154,-0.0988941,0.988644,54.1349,54.1349,1,1138.2,307.332,2.33059,202.976,137.889,-532.222,0.144842,-8.79611,0.00249824,-0.152919,0.988236,54.1349,54.1349,1,1130.24,381.249,1,0
3440977014610,1124.43,455.166,2.20652,141.722,135.441,-527.396,6.61625,-5.86975,0.114615,-0.102267,0.988132,54.1324,54.1324,1,1143.17,330.657,2.33017,202.988,137.894,-532.128,0.33029,-8.10976,0.00570697,-0.14107,0.989983,54.1324,54.1324,1,1133.8,392.912,1,0
3440979517820,1128.45,455.166,2.21608,141.73,135.392,-527.508,6.61209,-6.37467,0.114435,-0.11103,0.987207,54.1375,54.1375,1,1143.17,330.657,2.32735,203.002,137.887,-532.108,0.389667,-7.87145,0.00673684,-0.136951,0.990555,54.1375,54.1375,1,1135.81,392.912,1,0
3440982017550,1132.93,449.689,2.25276,141.75,135.373,-527.55,6.67124,-5.99464,0.115537,-0.104435,0.987798,54.1394,54.1394,1,1152.95,343.787,2.34034,203.025,137.882,-532.102,0.583004,-7.56227,0.0100867,-0.131604,0.991251,54.1394,54.1394,1,1142.94,396.738,1,0
3440984520770,1128.45,455.166,2.21866,141.755,135.35,-527.569,6.38291,-5.23264,0.110709,-0.0911999,0.98966,54.1391,54.1391,1,1156.12,356.368,2.37256,203.041,137.883,-532.071,0.58419,-6.93939,0.0101212,-0.120819,0.992623,54.1391,54.1391,1,1142.28,405.767,1,0
3440987017030,1128.45,449.689,2.22476,141.766,135.302,-527.672,6.34241,-5.86174,0.109892,-0.102128,0.988683,54.1504,54.1504,1,1157.45,372.653,2.33858,203.062,137.847,-532.184,0.407975,-7.34102,0.00706208,-0.127775,0.991778,54.1504,54.1504,1,1142.95,411.171,1,0
3440989516770,1124.54,449.689,2.23317,141.786,135.268,-527.717,6.44247,-6.07954,0.111575,-0.105909,0.988096,54.1513,54.1513,1,1157.45,384.075,2.36615,203.088,137.834,-532.146,0.668828,-7.12335,0.0115829,-0.124006,0.992214,54.1513,54.1513,1,1141,416.882,1,0
3440992019980,1124.54,449.345,2.22845,141.791,135.246,-527.78,6.37806,-5.94542,0.110491,-0.103581,0.988465,54.1653,54.1653,1,1157.45,372.653,2.39584,203.128,137.776,-532.359,0.253549,-8.27986,0.00437912,-0.144008,0.989567,54.1653,54.1653,1,1141,410.999,1,0
3440994516250,1124.54,444.564,2.21999,141.8,135.195,-527.872,6.26557,-6.71765,0.108388,-0.116977,0.987202,54.165,54.165,1,1157.45,372.653,2.41081,203.116,137.778,-532.247,-0.0712616,-8.08956,-0.00123137,-0.140721,0.990049,54.165,54.165,1,1141,408.609,1,0
3440997019460,1121.26,444.564,2.21989,141.817,135.2,-527.855,6.22754,-6.37049,0.107807,-0.110957,0.987961,54.1742,54.1742,1,1149.67,344.139,2.42065,203.167,137.727,-532.449,0.0244726,-8.5825,0.000422345,-0.149233,0.988802,54.1742,54.1742,1,1135.47,394.352,1,0
3440999519200,1115.47,422.123,2.22328,141.822,135.15,-527.928,6.18576,-6.76984,0.107001,-0.117881,0.987246,54.1749,54.1749,1,1140.62,344.139,2.41632,203.174,137.724,-532.375,0.0741991,-8.39286,0.00128115,-0.14596,0.98929,54.1749,54.1749,1,1128.05,383.131,1,0
3441002022410,1119.67,422.123,2.24861,141.843,135.135,-527.893,6.34147,-6.72321,0.109694,-0.117073,0.987047,54.1739,54.1739,1,1141.94,327.69,2.41464,203.192,137.699,-532.38,0.0974667,-8.52424,0.00168232,-0.148228,0.988952,54.1739,54.1739,1,1130.8,374.906,1,0
3441004518680,1119.67,422.123,2.22176,141.865,135.119,-527.841,6.50973,-6.29846,0.112688,-0.109708,0.987555,54.1776,54.1776,1,1140.62,327.69,2.37382,203.202,137.656,-532.494,-0.100065,-8.97451,-0.00172509,-0.155995,0.987756,54.1776,54.1776,1,1130.15,374.906,1,0
3441007025370,1119.67,422.123,2.24528,141.887,135.062,-527.908,6.48627,-6.8103,0.112168,-0.118582,0.986588,54.1839,54.1839,1,1140.62,320.57,2.36512,203.226,137.617,-532.534,0.00235395,-9.42012,4.05301e-05,-0.163672,0.986515,54.1839,54.1839,1,1130.15,371.346,1,0
3441009521640,1126.07,422.123,2.21307,141.907,135.053,-527.819,6.45746,-5.94748,0.11186,-0.103617,0.988307,54.1781,54.1781,1,1140.63,296.308,2.36537,203.241,137.612,-532.497,0.124008,-9.04714,0.00213741,-0.157247,0.987557,54.1781,54.1781,1,1133.35,359.215,1,0
3441012017900,1122.35,422.123,2.24819,141.913,134.986,-527.982,6.38372,-6.07435,0.110562,-0.105819,0.98822,54.187,54.187,1,1140.62,320.57,2.34421,203.256,137.593,-532.499,0.07117,-8.37868,0.00122889,-0.145715,0.989326,54.187,54.187,1,1131.49,371.346,1,0
3441014521110,1124.5,436.25,2.232,141.931,134.93,-528.07,6.42158,-6.02619,0.111225,-0.104983,0.988235,54.1948,54.1948,1,1140.91,320.57,2.32801,203.28,137.561,-532.553,0.173302,-8.10736,0.00299445,-0.141028,0.990001,54.1948,54.1948,1,1132.7,378.41,1,0
3441017020850,1122.35,436.25,2.21451,141.948,134.906,-528.063,6.36612,-5.70478,0.110332,-0.0994027,0.988911,54.1869,54.1869,1,1140.91,327.626,2.42373,203.29,137.581,-532.393,0.405154,-6.85418,0.00702067,-0.119343,0.992828,54.1869,54.1869,1,1131.63,381.938,1,0
3441019524060,1124.29,438.363,2.21286,141.964,134.867,-528.104,6.41309,-5.43481,0.111194,-0.0947132,0.989275,54.1947,54.1947,1,1146.37,341.776,2.38253,203.323,137.535,-532.494,0.380315,-7.27794,0.00658423,-0.126683,0.991921,54.1947,54.1947,1,1135.33,390.07,1,0
3441022023800,1124.29,455.089,2.23627,141.981,134.851,-528.045,6.42936,-4.967,0.111558,-0.0865819,0.989979,54.1965,54.1965,1,1157.51,365.374,2.38456,203.365,137.502,-532.579,0.56308,-7.65386,0.00973988,-0.133188,0.991043,54.1965,54.1965,1,1140.9,410.231,1,0
3441024527010,1124.29,458.953,2.23257,141.993,134.791,-528.168,6.45977,-5.61646,0.111965,-0.0978688,0.988881,54.201,54.201,1,1157.51,353.256,2.38286,203.368,137.465,-532.526,0.384023,-7.87934,0.00663914,-0.137087,0.990537,54.201,54.201,1,1140.9,406.105,1,0
3441027023280,1125.21,455.089,2.245,142.013,134.758,-528.146,6.52577,-6.02148,0.113023,-0.104901,0.988039,54.1993,54.1993,1,1157.51,353.256,2.39589,203.381,137.443,-532.497,-0.0114641,-8.41342,-0.000197933,-0.146315,0.989238,54.1993,54.1993,1,1141.36,404.173,1,0
3441029526490,1124.29,455.089,2.21554,142.021,134.713,-528.193,6.36418,-5.90137,0.11026,-0.102816,0.98857,54.2141,54.2141,1,1157.51,353.256,2.43758,203.417,137.361,-532.729,-0.310649,-9.83891,-0.00534207,-0.170879,0.985278,54.2141,54.2141,1,1140.9,404.173,1,0
3441032026230,1125.21,443.667,2.24054,142.057,134.658,-528.228,6.62417,-6.58627,0.114595,-0.114699,0.986769,54.2136,54.2136,1,1137.35,324.924,2.40896,203.432,137.358,-532.668,-0.12681,-9.4892,-0.00218296,-0.164862,0.986314,54.2136,54.2136,1,1131.28,384.295,1,0
3441034522490,1125.21,443.667,2.19892,142.068,134.632,-528.234,6.46377,-6.76457,0.111791,-0.11779,0.986726,54.2195,54.2195,1,1131.74,285.115,2.37482,203.448,137.315,-532.77,-0.245194,-9.11732,-0.00422536,-0.158457,0.987357,54.2195,54.2195,1,1128.47,364.391,1,0
3441037025710,1125.21,432.376,2.23734,142.08,134.595,-528.26,6.18546,-6.1058,0.107136,-0.106365,0.988539,54.2153,54.2153,1,1131.47,324.924,2.37095,203.46,137.321,-532.645,-0.280218,-8.22814,-0.00484036,-0.143115,0.989694,54.2153,54.2153,1,1128.34,378.65,1,0
3441039521970,1125.21,443.62,2.27814,142.099,134.544,-528.306,6.19778,-5.88504,0.107392,-0.102533,0.988916,54.2213,54.2213,1,1128.51,324.924,2.35157,203.486,137.281,-532.703,-0.191093,-8.19735,-0.00330113,-0.142583,0.989777,54.2213,54.2213,1,1126.86,384.272,1,0
3441042028660,1113.9,443.62,2.25539,142.115,134.503,-528.301,6.04606,-5.53109,0.104838,-0.0963858,0.989807,54.223,54.223,1,1131.47,334.01,2.45203,203.512,137.256,-532.726,0.0842454,-7.78952,0.00145679,-0.135534,0.990772,54.223,54.223,1,1122.68,388.815,1,0
3441044524930,1119.44,443.62,2.24865,142.135,134.46,-528.35,6.29976,-5.81375,0.109166,-0.101295,0.988849,54.2255,54.2255,1,1131.47,335.381,2.40959,203.541,137.218,-532.71,0.311774,-7.53679,0.00539444,-0.131163,0.991346,54.2255,54.2255,1,1125.45,389.5,1,0
3441047028140,1119.44,446.806,2.24076,142.15,134.408,-528.336,6.32823,-5.74045,0.109671,-0.100022,0.988923,54.2251,54.2251,1,1143.02,356.784,2.43454,203.555,137.187,-532.693,0.228312,-7.66078,0.00394923,-0.133308,0.991067,54.2251,54.2251,1,1131.23,401.795,1,0
3441049527880,1119.44,446.806,2.24166,142.167,134.379,-528.332,6.30041,-5.69736,0.109199,-0.0992738,0.98905,54.2277,54.2277,1,1146.43,349.693,2.40958,203.574,137.135,-532.729,0.141381,-7.90934,0.00244409,-0.137606,0.990484,54.2277,54.2277,1,1132.93,398.25,1,0
3441052024150,1119.67,450.311,2.23188,142.177,134.332,-528.359,6.33339,-5.59726,0.109788,-0.0975353,0.989158,54.2312,54.2312,1,1143.02,354.68,2.36997,203.592,137.107,-532.758,0.0583399,-7.81266,0.00100877,-0.135934,0.990717,54.2312,54.2312,1,1131.34,402.496,1,0
3441054527360,1119.67,452.433,2.28263,142.201,134.281,-528.383,6.47507,-5.4916,0.112253,-0.0956998,0.989061,54.2343,54.2343,1,1146.43,349.693,2.34927,203.624,137.073,-532.777,0.259431,-7.94423,0.00448445,-0.138209,0.990393,54.2343,54.2343,1,1133.05,401.063,1,0
3441057027100,1121.45,457.38,2.24075,142.225,134.241,-528.379,6.49206,-5.15475,0.112608,-0.089846,0.989569,54.2329,54.2329,1,1143.02,354.68,2.32079,203.634,137.055,-532.736,0.0259561,-7.64839,0.000448989,-0.133093,0.991103,54.2329,54.2329,1,1132.24,406.03,1,0
3441059530310,1119.67,454.812,2.21897,142.228,134.165,-528.47,6.18843,-5.62838,0.107279,-0.0980759,0.98938,54.2429,54.2429,1,1143.02,349.693,2.32434,203.661,137.004,-532.823,-0.407226,-8.73631,-0.00702491,-0.151887,0.988373,54.2429,54.2429,1,1131.34,402.252,1,0
3441062026580,1121.45,454.812,2.20577,142.25,134.116,-528.584,6.38818,-6.16053,0.110621,-0.107314,0.988052,54.2524,54.2524,1,1140.68,349.693,2.41847,203.696,136.944,-532.882,-0.424909,-9.62704,-0.00731156,-0.167234,0.98589,54.2524,54.2524,1,1131.07,402.252,1,0
3441064529790,1119.67,454.812,2.22318,142.272,134.081,-528.559,6.12182,-5.4341,0.106164,-0.0947008,0.989829,54.2531,54.2531,1,1122.9,305.174,2.42219,203.705,136.902,-532.901,-0.320113,-9.59943,-0.00550876,-0.166759,0.985982,54.2531,54.2531,1,1121.28,379.993,1,0
