timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
1354427787857400,970.322,1080,2.61767,153.724,93.2797,-527.252,2.2788,13.9355,0.0385917,0.24083,0.9698,54.3084,54.3084,0,688.403,556.327,2.78425,213.527,92.2722,-523.413,-9.76911,0.997461,-0.169652,0.0174081,0.98535,54.3084,54.3084,1,-65535,-65535,0,0
1354427792877600,970.322,1080,2.61767,153.724,93.2797,-527.252,2.2788,13.9355,0.0385917,0.24083,0.9698,54.3084,54.3084,0,688.403,556.327,2.78425,213.527,92.2722,-523.413,-9.76911,0.997461,-0.169652,0.0174081,0.98535,54.3084,54.3084,1,-65535,-65535,0,0
1354427797777300,970.322,1080,2.61767,153.724,93.2797,-527.252,2.2788,13.9355,0.0385917,0.24083,0.9698,54.3084,54.3084,0,688.403,556.327,2.78425,213.527,92.2722,-523.413,-9.76911,0.997461,-0.169652,0.0174081,0.98535,54.3084,54.3084,1,-65535,-65535,0,0
1354427802702100,970.322,1080,2.61767,153.724,93.2797,-527.252,2.2788,13.9355,0.0385917,0.24083,0.9698,54.3084,54.3084,0,688.403,556.327,2.78425,213.527,92.2722,-523.413,-9.76911,0.997461,-0.169652,0.0174081,0.98535,54.3084,54.3084,1,-65535,-65535,0,0
1354427807711400,970.322,1080,2.61767,153.724,93.2797,-527.252,2.2788,13.9355,0.0385917,0.24083,0.9698,54.3084,54.3084,0,688.403,556.327,2.78425,213.527,92.2722,-523.413,-9.76911,0.997461,-0.169652,0.0174081,0.98535,54.3084,54.3084,1,-65535,-65535,0,0
1354427737868300,970.322,1080,2.61767,153.724,93.2797,-527.252,2.2788,13.9355,0.0385917,0.24083,0.9698,54.3084,54.3084,0,688.403,556.327,2.78425,213.527,92.2722,-523.413,-9.76911,0.997461,-0.169652,0.0174081,0.98535,54.3084,54.3084,1,-65535,-65535,0,0
1354427772752800,970.322,1080,2.61767,153.724,93.2797,-527.252,2.2788,13.9355,0.0385917,0.24083,0.9698,54.3084,54.3084,0,688.403,556.327,2.78425,213.527,92.2722,-523.413,-9.76911,0.997461,-0.169652,0.0174081,0.98535,54.3084,54.3084,0,-65535,-65535,0,0
1354427842628200,970.295,1080,2.40777,139.049,86.5633,-533.596,3.7299,18.1644,0.0618112,0.311745,0.948153,54.4888,54.4888,1,605.611,816.914,2.54187,198.044,88.5409,-518.105,-9.76911,6.23957,-0.168673,0.108686,0.979662,54.4888,54.4888,1,787.953,948.457,1,0
1354427847680800,970.295,1080,2.40777,139.049,86.5633,-533.596,3.7299,18.1644,0.0618112,0.311745,0.948153,54.4888,54.4888,1,605.611,816.914,2.54187,198.044,88.5409,-518.105,-9.76911,6.23957,-0.168673,0.108686,0.979662,54.4888,54.4888,1,787.953,948.457,1,0
1354427852550500,983.973,1080,3.38839,139.973,86.2111,-533.94,3.7299,18.1644,0.0618112,0.311745,0.948153,54.5431,54.5431,1,621.742,817.119,3.63993,198.682,88.1934,-518.728,-9.76911,6.23957,-0.168673,0.108686,0.979662,54.5431,54.5431,1,802.857,948.56,1,0
1354427857594300,985.824,1080,3.03625,141.26,86.3122,-532.561,3.7299,18.1644,0.0618112,0.311745,0.948153,54.4779,54.4779,1,623.772,816.985,3.85374,199.505,88.0362,-518.705,-9.76911,6.23957,-0.168673,0.108686,0.979662,54.4779,54.4779,1,804.798,948.493,1,0
1354427862812300,987.58,1080,2.4434,142.161,86.3346,-532.088,3.7299,18.1644,0.0618112,0.311745,0.948153,54.4556,54.4556,1,625.986,817.198,3.50756,200.543,88.0794,-518.72,-9.76911,6.23957,-0.168673,0.108686,0.979662,54.4556,54.4556,1,806.783,948.599,1,0
1354427867582000,767.018,500.639,2.41885,142.591,86.3908,-531.731,-0.521585,0.381076,-0.00910305,0.00665099,0.999936,54.4373,54.4373,1,627.968,479.177,3.08175,201.559,88.263,-518.754,-9.76911,-0.275268,-0.169676,-0.00480432,0.985488,54.4373,54.4373,1,697.493,489.908,1,0
1354427872645300,768.855,500.845,2.3813,142.905,86.3966,-531.612,-0.521585,0.381076,-0.00910305,0.00665099,0.999936,54.4356,54.4356,1,459.546,295.799,2.41058,202.397,88.4987,-518.901,-12.9809,-3.76764,-0.224141,-0.0657103,0.972339,54.4356,54.4356,1,613.488,396.917,1,0
1354427877729600,770.639,500.788,2.4162,143.244,86.3099,-531.705,-0.521585,0.381076,-0.00910305,0.00665099,0.999936,54.4609,54.4609,1,461.609,295.851,2.46055,202.84,88.4581,-519.312,-12.9809,-3.76764,-0.224141,-0.0657103,0.972339,54.4609,54.4609,1,615.458,397,1,0
1354427882732100,772.324,500.155,2.39854,143.554,86.2696,-531.708,-0.521585,0.381076,-0.00910305,0.00665099,0.999936,54.4608,54.4608,1,463.556,296.066,2.38035,203.184,88.4864,-519.303,-12.9809,-3.76764,-0.224141,-0.0657103,0.972339,54.4608,54.4608,1,617.309,396.852,1,0
1354427887673700,774.058,500.351,2.3948,143.854,86.1963,-531.732,-0.521585,0.381076,-0.00910305,0.00665099,0.999936,54.4733,54.4733,1,465.275,295.61,2.37894,203.572,88.425,-519.508,-12.9809,-3.76764,-0.224141,-0.0657103,0.972339,54.4733,54.4733,1,619.07,396.785,1,0
1354427892650800,775.635,500.391,2.38882,144.172,86.1354,-531.768,-0.521585,0.381076,-0.00910305,0.00665099,0.999936,54.4637,54.4637,1,797.059,461.785,2.40888,203.882,88.5137,-519.276,-6.70549,-0.614743,-0.116759,-0.0107291,0.993102,54.4637,54.4637,1,786.347,481.088,1,0
